p1,p2,tilt
0.0516666667,0.1284722222,0.6214660562148018
0.0516666667,0.1333333333,0.4717217441275398
0.0516666667,0.1381944444,0.3209877338237402
0.0516666667,0.1430555556,0.3518894296858358
0.0516666667,0.1479166667,0.22205933337528727
0.0516666667,0.1527777778,0.012459245150430679
0.0516666667,0.1576388889,0.012554932727007114
0.0516666667,0.1625,0.1858735395494729
0.0516666667,0.1673611111,0.30229387451893264
0.0516666667,0.1722222222,0.3660912464259024
0.0516666667,0.1770833333,0.435490726517498
0.0516666667,0.1819444444,0.6190239152165717
0.0516666667,0.1868055556,0.8179815924372105
0.0516666667,0.1916666667,0.8018467507467526
0.0516666667,0.1965277778,0.9473321051708933
0.0516666667,0.2013888889,1.1432387565710993
0.0516666667,0.20625,1.1865907238329194
0.0516666667,0.2111111111,1.327445885299677
0.0516666667,0.2159722222,1.611268764097328
0.0516666667,0.2208333333,1.8124913254814436
0.0516666667,0.2256944444,1.8420004502729017
0.0516666667,0.2305555556,1.8747741374373164
0.0516666667,0.2354166667,2.070925947394244
0.0516666667,0.2402777778,2.1209360819691248
0.0516666667,0.2451388889,2.337156252106909
0.0516666667,0.25,2.4588878400778813
0.0533333333,0.075,0.04394566260448337
0.0533333333,0.0798611111,0.3262168741420511
0.0533333333,0.0847222222,0.4012494017929963
0.0533333333,0.0895833333,0.34263600853828274
0.0533333333,0.0944444444,0.5322246532852184
0.0533333333,0.0993055556,0.6460926746423848
0.0533333333,0.1041666667,0.6494950393823528
0.0533333333,0.1090277778,0.6840123497572969
0.0533333333,0.1138888889,0.7266711852714255
0.0533333333,0.11875,0.6472189642570557
0.0533333333,0.1236111111,0.6202480929947262
0.0533333333,0.1284722222,0.6557782233493791
0.0533333333,0.1333333333,0.5481346247097726
0.0533333333,0.1381944444,0.3142057466328761
0.0533333333,0.1430555556,0.3795100233186671
0.0533333333,0.1479166667,0.28202624215455885
0.0533333333,0.1527777778,0.01720835392496244
0.0533333333,0.1576388889,0.022750619951394442
0.0533333333,0.1625,0.14369566105641324
0.0533333333,0.1673611111,0.27413927086711287
0.0533333333,0.1722222222,0.30293148637078837
0.0533333333,0.1770833333,0.4774978212137577
0.0533333333,0.1819444444,0.5918503709415968
0.0533333333,0.1868055556,0.7944739841374825
0.0533333333,0.1916666667,0.7769492600871258
0.0533333333,0.1965277778,0.928148625142885
0.0533333333,0.2013888889,1.2320667253627624
0.0533333333,0.20625,1.2801902260609355
0.0533333333,0.2111111111,1.2992899623304004
0.0533333333,0.2159722222,1.4854165755523783
0.0533333333,0.2208333333,1.7824869907398
0.0533333333,0.2256944444,1.6822643147427054
0.0533333333,0.2305555556,1.9812877518849477
0.0533333333,0.2354166667,2.0464624005733802
0.0533333333,0.2402777778,2.218171967126894
0.0533333333,0.2451388889,2.2718874579787722
0.0533333333,0.25,2.5246575257188986
0.055,0.075,0.3002170673995893
0.055,0.0798611111,0.1859815889667641
0.055,0.0847222222,0.3080747082919371
0.055,0.0895833333,0.27646391846487406
0.055,0.0944444444,0.44691941517851586
0.055,0.0993055556,0.6545791077362183
0.055,0.1041666667,0.615618153170539
0.055,0.1090277778,0.646371017585443
0.055,0.1138888889,0.7077846928147532
0.055,0.11875,0.6563330348689634
0.055,0.1236111111,0.6081647356200084
0.055,0.1284722222,0.6314853530580327
0.055,0.1333333333,0.48582898558068
0.055,0.1381944444,0.3399737073880555
0.055,0.1430555556,0.36213567767891314
0.055,0.1479166667,0.25102513976856555
0.055,0.1527777778,0.014189867837160669
0.055,0.1576388889,0.06676721571469012
0.055,0.1625,0.1589635590211536
0.055,0.1673611111,0.2940031389745589
0.055,0.1722222222,0.3435122338303324
0.055,0.1770833333,0.42200767108178655
0.055,0.1819444444,0.6080528963281061
0.055,0.1868055556,0.8058195881668592
0.055,0.1916666667,0.7925998542941999
0.055,0.1965277778,0.9401481843075132
0.055,0.2013888889,1.2438970233799924
0.055,0.20625,1.2932735006951737
0.055,0.2111111111,1.3117187671380341
0.055,0.2159722222,1.4978309811811894
0.055,0.2208333333,1.7883058517969062
0.055,0.2256944444,1.8216798496750042
0.055,0.2305555556,2.0001709009439232
0.055,0.2354166667,2.0520117990278637
0.055,0.2402777778,2.2410271352193982
0.055,0.2451388889,2.338107163736356
0.055,0.25,2.4362670816128076
0.0566666667,0.075,0.570716604862777
0.0566666667,0.0798611111,0.06148085527342429
0.0566666667,0.0847222222,0.024858899281260165
0.0566666667,0.0895833333,0.02807406434420728
0.0566666667,0.0944444444,0.21951120680281008
0.0566666667,0.0993055556,0.3792396904489208
0.0566666667,0.1041666667,0.3704785904963209
0.0566666667,0.1090277778,0.41907998942546415
0.0566666667,0.1138888889,0.5151559060933611
0.0566666667,0.11875,0.35947442850072725
0.0566666667,0.1236111111,0.3028918239261358
0.0566666667,0.1284722222,0.38080796728796595
